"id","name","cost","converted_cost","type","text","stats","rarity"
1837654877,"Umeshrir of the Silvershield","{3}{1}{G}{2}",2,"Farmer - Thresher","He finds the whole idea of introspection completely\noffensive and contrary to the ideals of a life well-\nlived. He values knowledge. He is somewhat disgusted\nby romance. He sees competition as reasonably\nimportant. He doesn't care about nature one way or\nanother. He doesn't see cooperation as valuable. He\nreally respects commerce and those that engage in\ntrade. He needs alcohol to get through the working\nday","","uncommon"
522686381,"Eshtan of the Giantskull","{X}",7,"Miner - Miner","""Everything's alright."" Eshtan of the Giantskull\ndreams of becoming a legendary warrior. She thinks\nthat the pursuit of the skills of warfare and\nfighting is a low pursuit indeed. She greatly prizes\nloyalty. She holds shrewd and crafty individuals in\nthe lowest esteem. She finds friendship burdensome.\nShe believes the idea of war is utterly repellent\nand would have peace at all costs. She respects the\ndevelopment of skill. She greatly respects\nindividuals that persevere through their trials and\nlabors. She needs alcohol to get through the working\nday","","mythic"
1721037175,"Mafol","{R}",6,"Stoneworker - Mason","""Our fortunes rise and fall together."" Mafol dreams\nof becoming a legendary warrior. He doesn't\nparticularly care between war and peace. He sees\nworking hard as a foolish waste of time. He doesn't\nparticularly care about crafts[man]ship. He does not\ncare about fairness. He finds blind honesty foolish.\nHe doesn't feel strongly about the law. He values\ndecorum, dignity and proper behavior. He needs\nalcohol to get through the working day","2/1","uncommon"
4168658335,"Etur-Atir","{2}",1,"Military - Discipline","He is somewhat disgusted by romance. He greatly\nrespects the shrewd and guileful. He hates those who\nwield power over others. He has a great deal of\nrespect for worthy crafts[man]ship. He doesn't feel\nstrongly about the law. He holds the view that\ncommerce is a vile obscenity. He doesn't really see\nthe value in self-examination. A short sturdy\ncreature fond of work and industry.","5/1","common"
1744777925,"Kosoth","{2}{X}{G}{3}",5,"Engineer - Siege engineer","She is greatly disturbed by quiet and a peaceful\nexistence. She values artwork. She is a firm\nbeliever in the value of tradition. She sees those\nthat attempt to maintain dignified and proper\nbehavior as vain and offensive. She is somewhat put\noff by trade and commerce. She disdains loyalty. She\ndoesn't feel strongly about the law. A short sturdy\ncreature fond of work and industry.","1/1","uncommon"
73124064,"Doren-Dobar","{T}{1}",6,"Broker - Flatterer","He doesn't see cooperation as valuable. He is a firm\nbeliever in the value of tradition. He thinks there\nis something deeply wrong with people that persevere\nthrough adversity. He deeply respects those that\nwork hard at their labors. He values loyalty. He\ntruly values merrymaking and parties. He doesn't\nhave a preference between tranquility and tumult. He\nneeds alcohol to get through the working day","","rare"
2019650358,"Cilob-Ingish","{1}",5,"Other Jobs - Alchemist","""I finished up some work, I am very satisfied.""\nCilob-Ingish dreams of raising a family. He is\nutterly disgusted by guile and cunning. He sees the\npursuit of good crafts[man]ship as a total waste. He\ndisdains the law. He doesn't see much value in being\nstoic. He thinks romance is very important in life.\nHe values artwork. He believes that honesty is a\nhigh ideal. A short sturdy creature fond of work and\nindustry.","5/5","uncommon"
1048041611,"Kib","{T}{T}{U}{2}",6,"Metalsmith - Furnace operator","She disdains loyalty. She deeply respects eloquent\nspeakers. She is disgusted by merrymakers. She\ndoesn't particularly care between war and peace. She\nbelieves that the mastery of a skill is one of the\nhighest pursuits. She deeply dislikes competition.\nShe believes the truth is inviolable regardless of\nthe cost. A short sturdy creature fond of work and\nindustry.","1/3","mythic"
2617431498,"Medtob","{4}{U}{G}{T}{2}",2,"Broker - Persuader","She believes that it would be a fine thing if all\ntime were leisure time. She thinks there is\nsomething deeply wrong with people that persevere\nthrough adversity. She doesn't see cooperation as\nvaluable. She doesn't feel strongly about the law.\nShe sees merrymaking as a waste. She doesn't\nparticularly respect commerce. She thinks that the\nentire concept of sacrifice for others is truly\ndisgusting. She needs alcohol to get through the\nworking day","","uncommon"
1072859972,"Edzul","{B}{2}{T}",4,"Administrator - Organizer","""I'm feeling randy today!"" Edzul dreams of attaining\nrank in society. She doesn't have a preference\nbetween tranquility and tumult. She really respects\nthose that take the time to master a skill. She\ndoesn't have any strong feelings about tradition.\nShe finds introspection to be a waste of time. She\nvalues artwork. She does not care about friendship.\nShe is somewhat put off by trade and commerce. A\nshort sturdy creature fond of work and industry.","","mythic"
718890589,"Reg-Momuz","{B}{U}{G}{W}{U}",6,"Other Jobs - Knapper","""Try to focus on the practical side of the matter.""\nReg-Momuz dreams of crafting a masterwork someday.\nHe places cooperation as one of the highest ideals.\nHe really respects commerce and those that engage in\ntrade. He respects the law. He values eloquence. He\nvalues cunning. He values family greatly. He sees\nintrospection as important. A short sturdy creature\nfond of work and industry.","","rare"
3310596727,"Ineth-Zuglar","{2}{X}",7,"Miscellaneous - Observer","""Try to focus on the practical side of the matter.""\nIneth-Zuglar dreams of ruling the world. She\nrespects power. She does not really value cunning\nand guile. She truly values merrymaking and parties.\nShe is disgusted by the idea of fairness and will\nfreely cheat anybody at any time. She doesn't\nparticularly respect commerce. She sees competition\nas wasteful and silly. She has a great deal of\nrespect for the law. A short sturdy creature fond of\nwork and industry.","","rare"
541116389,"Dastot Oneshield","{T}",7,"Broker - Judge of intent","""Life is, in a word, torture."" Dastot Oneshield\ndreams of attaining rank in society. She values hard\nwork. She does not care about fairness. She views\nany show of emotion as offensive. She doesn't feel\nstrongly about the law. She does not care about\nfriendship. She finds the ideas of independence and\nfreedom somewhat foolish. She holds the maintenance\nof tradition as one of the highest ideals. A short\nsturdy creature fond of work and industry.","1/6","uncommon"
4140871352,"Tirist of the Thunderhammer","{4}",7,"Military - Armor user","He strongly values tranquility and quiet. He greatly\nrespects the shrewd and guileful. He respects fair-\ndealing and fair-play. He is affronted by the whole\nnotion of maintaining decorum and finds so-called\ndignified people disgusting. He doesn't find power\nparticularly praiseworthy. He deeply respects skill\nat arms. He values nature. A short sturdy creature\nfond of work and industry.","7/1","common"
1875900626,"Asen","{T}",3,"Administrator - Building designer","She is greatly disturbed by quiet and a peaceful\nexistence. She sees freedom and independence as\ncompletely worthless. She doesn't feel strongly\nabout the law. She believes that the time taken to\nmaster a skill is a horrible waste. She deeply\nrespects skill at arms. She hates those who wield\npower over others. She views the pursuit of\nknowledge as deeply important. A short sturdy\ncreature fond of work and industry.","3/1","mythic"
3725877335,"Id","{1}{4}",4,"Ranger - Trapper","He sees engaging in commerce as a high ideal in\nlife. He finds the idea of laws abhorrent. He views\ndecorum as a high ideal and is deeply offended by\nthose that fail to maintain it. He does not really\nvalue cunning and guile. He finds sacrifice to be\nthe height of folly. He really respects those that\ntake the time to master a skill. He sees\nintrospection as important. A short sturdy creature\nfond of work and industry.","5/2","uncommon"
2394216394,"Litast","{B}",7,"Miner - Miner","She respects fair-dealing and fair-play. She is\ndisgusted by tranquility and would that the world\nwould constantly churn with noise and activity. She\nsees competition as wasteful and silly. She abhors\nthose that pursue the mastery of weapons and skill\nwith fighting. She doesn't find power particularly\npraiseworthy. She believes that perseverance is one\nof the greatest qualities somebody can have. She is\nthoroughly disgusted by cooperation. She needs\nalcohol to get through the working day","1/7","mythic"
3515671989,"Erith","{4}",3,"Miner - Miner","She doesn't care very much about decorum. She sees\nlying as an important means to an end. She sees\npower over others as something to strive for. She\ntreasures leisure time and thinks it is very\nimportant in life. She values artwork. She respects\nthe development of skill. She has abandoned any\nattempt at self-control and finds the whole concept\ndeeply offensive. A short sturdy creature fond of\nwork and industry.","5/2","uncommon"
1140809286,"Mafol Dugdeep","{U}{2}{2}{R}",3,"Metalsmith - Metalsmith","""Don't get on my bad side."" Mafol Dugdeep dreams of\ncrafting a masterwork someday. He finds eloquence\nand artful speech off-putting. He doesn't\nparticularly care about crafts[man]ship. He believes\nthat the time taken to master a skill is a horrible\nwaste. He respects fair-dealing and fair-play. He\ndoesn't think one way or the other about leisure\ntime. He finds romance distasteful. He thinks it is\nof the utmost importance to present a bold face and\nnever grouse, complain or even show emotion. He\nneeds alcohol to get through the working day","","uncommon"
1950141431,"Kosoth of the Grimblade","{B}",5,"Military - Axeman","""Don't get on my bad side."" Kosoth of the Grimblade\ndreams of making a great discovery. He values\nsacrifice. He finds leisure time wasteful. He does\nnot care about friendship. He values knowledge. He\nsees competition as wasteful and silly. He sees\nworking hard as a foolish waste of time. He\ndisregards tradition. He needs alcohol to get\nthrough the working day","4/6","rare"
2526274732,"Tholtig Grimshield","{W}{X}{G}",4,"Scholar - Writer","He does not really value cunning and guile. He finds\nintrospection to be a waste of time. He dislikes\ncooperation. He doesn't particularly value loyalty.\nHe values family. He doesn't particularly respect\nsacrifice as a virtue. He values peace over war. He\nneeds alcohol to get through the working day","5/4","rare"
28408917,"Zon of the Stonemarrow","{G}{U}{W}",4,"Scholar - Logician","She doesn't really see the point of working hard.\nShe is completely put off by the idea of friends.\nShe disregards tradition. She greatly respects those\nthat observe decorum and maintain their dignity. She\nholds shrewd and crafty individuals in the lowest\nesteem. She sees the whole pursuit of art as silly.\nShe values romance. A short sturdy creature fond of\nwork and industry.","","rare"
136527368,"Avuz Goldseeker","{2}{3}{T}",8,"Farmer - Potash maker","He respects perseverance. He does not really value\nskills related to fighting. He believes that the\nacquisition of power over others is the ideal goal\nin life and worthy of the highest respect. He\ndoesn't particularly value loyalty. He has great\nrespect for fairness. He finds those that deny their\nimpulses somewhat stiff. He hates freedom and would\ncrush the independent spirit wherever it is found. A\nshort sturdy creature fond of work and industry.","7/1","mythic"
45545369,"Tholtig-Rakust","{W}{X}",1,"Performance - Percussionist","""Nobody is free, and it is pointless to act as if\nyou are."" Tholtig-Rakust dreams of attaining rank in\nsociety. She doesn't particularly care about\ncrafts[man]ship. She sees life as unfair and doesn't\nmind it that way. She thinks there is something\ndeeply wrong with people that persevere through\nadversity. She sees romance as one of the highest\nideals. She disdains the law. She values peace over\nwar. She views cooperation as a low ideal not worthy\nof any respect. She needs alcohol to get through the\nworking day","","common"
12106124,"Momuz-Ablel","{1}{G}{4}{3}{3}",5,"Jeweler - Gem cutter","""We grow through debate and struggle, even chaos and\ndiscord."" Momuz-Ablel dreams of becoming a legendary\nwarrior. She thinks the quest for knowledge is a\ndelusional fantasy. She believes that martial\nprowess defines the good character of an individual.\nShe finds the acquisition and use of power abhorrent\nand would have all masters toppled. She doesn't\nthink one way or the other about leisure time. She\ndoesn't feel strongly about the law. She views\ncooperation as a low ideal not worthy of any\nrespect. She is somewhat put off by trade and\ncommerce. A short sturdy creature fond of work and\nindustry.","2/2","uncommon"
3463768300,"Deduk of the Forkbeard","{2}{1}{G}{B}",3,"Ranger - Ambusher","He values loyalty. He sees the denial of impulses as\na vain and foolish pursuit. He doesn't really value\nindependence one way or another. He sees sacrifice\nas wasteful and foolish. He thinks there is\nsomething deeply wrong with people that persevere\nthrough adversity. He finds the idea of laws\nabhorrent. He doesn't particularly care about\ncrafts[man]ship. A short sturdy creature fond of\nwork and industry.","1/7","mythic"
2651790430,"Ast Ironnugget","{4}{3}{3}{U}",1,"Miner - Miner","""I'm at my best under pressure."" Ast Ironnugget\ndreams of creating a great work of art. He doesn't\nfeel strongly about the law. He doesn't have any\nstrong feelings about tradition. He prefers a noisy,\nbustling life to boring days without activity. He\nvalues independence. He believes that those who\nsacrifice for others should be deeply respected. He\nhas a deep respect for animals, plants and the\nnatural world. He finds maintaining decorum a silly,\nfumbling waste of time. He needs alcohol to get\nthrough the working day","6/6","uncommon"
1156484597,"Lorbam of the Firehammer","{1}",5,"Jeweler - Gem setter","She values independence. She respects fair-dealing\nand fair-play. She believes deeply that chaos and\ndisorder are the truest expressions of life and\nwould disrupt harmony wherever it is found. She\nbelieves that those that take leisure time are evil\nand finds the whole idea disgusting. She views\ncooperation as a low ideal not worthy of any\nrespect. She is an absolute believer in the rule of\nlaw. She sees the whole pursuit of art as silly. A\nshort sturdy creature fond of work and industry.","5/2","mythic"
